x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
2.122803979935851e9,99.93483384894498,24.973729218237303,0.16217436224096313,0.3391256467075645,84.01107531155276,0.036721225098308684,2.460920418657524e-10,9.894062494613046e-11,5.888724081969598e-10,1.0525481381379373e-10,1.2904546357865964e-8
2.0625630626377249e9,99.87375852637415,24.949830058998206,0.2506065037813199,0.35364912295549383,87.27016752673538,0.010604887427224197,2.439855955589338e-10,9.683420691663909e-11,4.730190650726382e-10,8.208413809496357e-11,1.290243969612335e-8
2.0629453367577302e9,99.81098925432006,24.92492616346478,0.37157051366861277,0.37462032509767174,90.59024206770823,0.009132200434074745,2.4394686051854334e-10,9.679546199993566e-11,4.708879838565268e-10,8.165793155514525e-11,1.2902400780593306e-8
2.020744151411876e9,99.75023810721287,24.90091193971059,0.480818224787781,0.3933442884766407,93.81121930201427,-0.020077659100760897,2.438002240653558e-10,9.664875667356674e-11,4.6281854900681113e-10,8.00440398802697e-11,1.2902253113986453e-8
2.075259234259041e9,99.68644576362095,24.875811999907512,0.5852895017360312,0.4109465887674899,97.2034637972932,0.01839814385392637,2.4355842077496264e-10,9.640702806596951e-11,4.4952431298945093e-10,7.738520494273136e-11,1.2902010655421733e-8
2.0399379476566186e9,99.62440452545648,24.850934402166494,0.7279512411811508,0.4363170708962494,100.46243731482318,-0.006317190938964448,2.438973044849874e-10,9.674577798274086e-11,4.681552568644035e-10,8.111141372565107e-11,1.2902350205968295e-8
1.9746046689868026e9,99.56365752337463,24.826087778994566,0.9105671315815859,0.46978577542541655,103.61144828166155,-0.042361682235399864,2.445785159326498e-10,9.742703040642993e-11,5.056233519574439e-10,8.860502719711118e-11,1.2903028148905258e-8
1.9393518519684656e9,99.5037861182453,24.801872693546034,1.0664965089594283,0.497937970297618,106.73859359895923,-0.05527630012471682,2.448724245048984e-10,9.772104387227595e-11,5.217939827190691e-10,9.183913919573111e-11,1.2903323178863532e-8
2.064378040906752e9,99.44191924786635,24.779533257399997,0.9915872644780659,0.4795931269260139,110.20077460065824,0.009829732009951402,2.431928569194599e-10,9.604182183344363e-11,4.2943556053494994e-10,7.336748255591236e-11,1.2901644438346098e-8
2.1488017695289235e9,99.37785556787122,24.755786410156848,0.9680911102085175,0.4714636400477949,113.7329906033303,0.045079053830561946,2.4219484273527465e-10,9.504352452974919e-11,3.745311581340191e-10,6.238654642223953e-11,1.290065061509233e-8
2.1781374846927752e9,99.31256166575082,24.730518929225372,1.0377882840753179,0.48199758471442455,117.24147431832921,0.05182573964240613,2.4199007360039643e-10,9.483875259472397e-11,3.632689098732072e-10,6.01340745040149e-11,1.290044443681047e-8
2.1465769534198074e9,99.24731027808816,24.703940264146045,1.2242308253683027,0.51599584786827,120.63353710561528,0.03512011852904535,2.425235945031301e-10,9.537246016298979e-11,3.926240289699644e-10,6.600511586192344e-11,1.290098617802695e-8
2.157735986133406e9,99.18221857200865,24.678382208564425,1.3261551287757982,0.5330171455975148,124.09944520587214,0.03564929124314514,2.4250601960688037e-10,9.535490086739529e-11,3.9165796759128193e-10,6.581189278467818e-11,1.2900965935079059e-8
2.1433785081868021e9,99.11717246935841,24.65223823758827,1.4811169248387686,0.56069971159034,127.51100357832645,0.028143193581174848,2.4276265920506807e-10,9.561149062071885e-11,4.057699216584301e-10,6.863428559818738e-11,1.2901219902712449e-8
2.2121497184605293e9,99.05117062059242,24.627719770720002,1.4615156904838966,0.5532496104956781,131.14570270672453,0.04581477055481785,2.4214431051341087e-10,9.499371857450775e-11,3.717890068969215e-10,6.183799439420108e-11,1.2900619862656219e-8
2.2791161804208264e9,98.98333588154239,24.602442526613896,1.448248499138828,0.5469754583698451,134.87449846987803,0.060467755820681535,2.4162276569228845e-10,9.447225014458436e-11,3.4310691110449e-10,5.6101661877251924e-11,1.2900086447933779e-8
