x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
2.2311111020197076e8,29.088759846532263,4.896751957550252,0.010115669436017188,0.31204914799995964,80.89274838620506,0.03100577291793746,4.044850799265894e-10,1.1581010003611917e-10,3.036732507920405e-10,6.166356906307974e-11,1.0524504329625637e-8
2.6462586664863527e8,29.07340762797518,4.892209092934209,0.029770534477711854,0.3160153031968628,81.29366981745703,0.034016772120407636,4.0448706439815406e-10,1.1718039785227527e-10,3.7932925620462526e-10,7.678799945187277e-11,1.053979370737309e-8
2.3469424922367638e8,29.064643797971343,4.88977718788369,0.03203150252627158,0.31648713519492433,81.52091829894913,0.027838063609594118,4.0445752037511807e-10,1.1615463747978996e-10,3.2266871115087616e-10,6.545281865180248e-11,1.0530225266499119e-8
2.4294675202416784e8,29.05133984205695,4.885910994149699,0.045093091485758456,0.31912835509102944,81.86773874257464,0.030455521617434762,4.044278091574381e-10,1.1638936293190488e-10,3.3567191527181593e-10,6.807124933908122e-11,1.0534384203071755e-8
2.3601591881981975e8,29.04093644024647,4.882955896049085,0.05160703216455093,0.3204555163995528,82.13816743621165,0.026078458185160833,4.044493435474448e-10,1.1616250912489054e-10,3.2237660218766155e-10,6.537863647691685e-11,1.0533826826254315e-8
2.2628521320043623e8,29.031905924578606,4.880424557837304,0.055457427479077566,0.3212477530479766,82.37285849979821,0.017913867973055747,4.0446231081054293e-10,1.1587316503129716e-10,3.058989063885782e-10,6.208604966773985e-11,1.052642428338902e-8
2.137992172641917e8,29.024463692737815,4.878379122104593,0.05653274351532804,0.32148433791026737,82.56541565890653,0.004890157238824787,4.0452858718177097e-10,1.1555551391574905e-10,2.872752310800853e-10,5.838042153616406e-11,1.0521655101767418e-8
2.143241453286403e8,29.01354076483841,4.875258672079063,0.06453013389304177,0.3231107240336638,82.8489660369039,0.005234768677288984,4.0451312203808015e-10,1.1556056638850409e-10,2.876998665630265e-10,5.847589881228673e-11,1.0520173580322935e-8
2.1082269113574535e8,29.00408386282811,4.872565854893103,0.07008101515289544,0.324240247190888,83.09595307219217,-9.392231420063228e-5,4.0459731566130056e-10,1.1546564048120831e-10,2.834183656275668e-10,5.7636384594652175e-11,1.0520299171764258e-8
2.146617073713275e8,28.99203722551727,4.869105043033814,0.07982190838849965,0.32621165032842764,83.41036559691295,0.005853025947610082,4.0456859283498593e-10,1.1552720106747263e-10,2.867488499640141e-10,5.831803211750771e-11,1.0520488878595217e-8
2.1937674559230736e8,28.97945772293225,4.865494885303655,0.09002791878605328,0.3282849240337012,83.7362336275697,0.013660881218024445,4.0463180006441817e-10,1.15567505690744e-10,2.9010619027994426e-10,5.89776583196933e-11,1.0524293581527698e-8
2.1846889453606376e8,28.968926685857912,4.862492989125409,0.09734106287369235,0.32976815970471063,84.00961402538643,0.010931910555609298,4.046743307130394e-10,1.1553808233057821e-10,2.892073036447964e-10,5.882560001162358e-11,1.052362719334236e-8
2.1733734031127936e8,28.95850675700741,4.859514678782638,0.10460105393297066,0.33123703732559284,84.28139306674984,0.007740153652189668,4.046882452807674e-10,1.1554629247900621e-10,2.8860716608342523e-10,5.867597415501877e-11,1.0525279322980237e-8
2.2751792555286866e8,28.943583376074212,4.855261536964098,0.11627577599904419,0.333617498270724,84.66829618818213,0.02817410987304954,4.0480883336975885e-10,1.1556656874789526e-10,2.908179720427827e-10,5.912570848758793e-11,1.0530451116563497e-8
2.3047292301282212e8,28.93134795304975,4.851759064350476,0.1251943562446852,0.3354253549618655,84.98870816400897,0.03239767633978584,4.0472685227037073e-10,1.1556311691364346e-10,2.9104774263310615e-10,5.917830588731947e-11,1.05384101508319e-8
