x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
2.4569069106410235e8,29.087629584564326,4.8961393211639805,0.026836717852224242,0.315395669455039,81.16971775708072,0.033737652276044534,4.044886433262797e-10,1.2243043741711293e-10,6.68105135810041e-10,1.345472222779808e-10,1.8590768391014737e-8
1.9041563219071504e8,29.08084756473689,4.894162715117346,0.033848119101086954,0.31681347906064705,81.4806688157869,0.029513709781997077,4.044867303800418e-10,1.2052184397684659e-10,5.631323524486762e-10,1.1355265993322103e-10,1.8571681631732925e-8
1.759050190764605e8,29.073492200576563,4.892005351344849,0.042203660412616736,0.31850142961521194,81.81804328877986,0.026945522748304418,4.0448622375562025e-10,1.2001223356399542e-10,5.351035351511513e-10,1.0794690184064154e-10,1.8566586420810177e-8
1.858423621400015e8,29.062767142272662,4.888780741221345,0.058727723252798,0.32183079981070495,82.31076401102794,0.029659631642054898,4.0448649582169833e-10,1.2031734737675637e-10,5.518843743775797e-10,1.1130307979646669e-10,1.85696388632285e-8
1.910248390979178e8,29.052296759012346,4.885641890932155,0.07435380985817608,0.3249799910481772,82.79169320297284,0.03168540310550882,4.0448664791351625e-10,1.2045835001418083e-10,5.596397539019943e-10,1.128541436712483e-10,1.8571047432459166e-8
1.8090238767463216e8,29.04573089227244,4.8837337303355035,0.08084213144219737,0.32629268944213746,83.09267933888462,0.02455006451501973,4.04486392917989e-10,1.2012768716353373e-10,5.414534823969712e-10,1.092168995038348e-10,1.8567741077553157e-8
1.9820361380161455e8,29.031248635444605,4.879340924035981,0.10527583941711781,0.33121259407576337,83.75839360145586,0.03883759053621129,4.04486827426862e-10,1.2060159909780984e-10,5.67518749155141e-10,1.1442995346702972e-10,1.857247956516241e-8
2.075275496612126e8,29.01833033039499,4.875443724362018,0.12590298752875198,0.3353676074951254,84.35200568159698,0.04784198489927173,4.0448701030993163e-10,1.2081687440117385e-10,5.793584224402973e-10,1.1679789581715971e-10,1.857463157438962e-8
2.2157063411456677e8,29.003107033430087,4.870830738927908,0.1513338793765222,0.3404886444446907,85.05173801075807,0.06463454564895063,4.044873210949998e-10,1.2111056717154768e-10,5.955113218443052e-10,1.2002847213172796e-10,1.8577567901574825e-8
2.2924972281413686e8,28.98967849546728,4.866781614227183,0.1726657677921491,0.34478577372677566,85.66877663731144,0.0735589042322134,4.0448737873611784e-10,1.2122470507452467e-10,6.017887617307476e-10,1.2128396544386008e-10,1.857870805283671e-8
2.262751655510534e8,28.980125659237665,4.863938271029203,0.18579818791474137,0.34743412836248255,86.10735643918053,0.06449474334111034,4.0448731656269777e-10,1.2114011576503764e-10,5.971364795696283e-10,1.2035352407152553e-10,1.85778641987123e-8
2.2314737772676858e8,28.970686487912754,4.861128459651858,0.1987906095903072,0.35005423206850445,86.54072126925821,0.05486380721169117,4.0448722338740986e-10,1.2107474289121032e-10,5.935418023662037e-10,1.1963462489768984e-10,1.857721143754238e-8
2.4098990725888696e8,28.953066623051622,4.8558044898580714,0.22738731671142265,0.3558139204641245,87.35045788017293,0.08721378585714347,4.0448729743442233e-10,1.2123076331062065e-10,6.021223335407366e-10,1.2135072166323535e-10,1.8578766025319832e-8
2.5279891045658126e8,28.9374153675962,4.851094176892948,0.25175264018203763,0.36072282988597876,88.06954023841686,0.1059369367915169,4.044873132558735e-10,1.212894074138212e-10,6.053471264904999e-10,1.219956879870163e-10,1.857934830510434e-8
2.398360750393346e8,28.930780780424264,4.849122650341499,0.26069674168056073,0.36252684316257094,88.37410830562773,0.0711550888554256,4.0448729043995513e-10,1.2123025961662882e-10,6.020939375346906e-10,1.2134504603250103e-10,1.8578761183459846e-8
2.496380325528815e8,28.915909057840803,4.844662808627423,0.2829764142211811,0.36701683566308296,89.057217452556,0.08704122893536638,4.044872456750886e-10,1.2123922416209556e-10,6.025869906747651e-10,1.2144367983329496e-10,1.8578849516492864e-8
2.3850353090330523e8,28.908314680435044,4.8423779062302765,0.29476315938855835,0.3693915755073343,89.40612661283008,0.057479458272540015,4.044871589834212e-10,1.2125255610842613e-10,6.033198572565145e-10,1.2159022282550775e-10,1.8578980640310286e-8
2.271928729550267e8,28.90094225759175,4.840148540191855,0.3068236345543329,0.37182055859701124,89.74494974940201,0.029955931694166205,4.0448713452210987e-10,1.2128848356927142e-10,6.052946560439044e-10,1.219851830355211e-10,1.8579338815549125e-8
2.416810041868065e8,28.884670837698405,4.835300735290881,0.32944980397756385,0.376383055201857,90.49203802672211,0.057656075178219926,4.044869991648855e-10,1.2123190856669815e-10,6.021829907106516e-10,1.2136286700680427e-10,1.857877551528963e-8
2.2867580826594713e8,28.87771711156051,4.833170629305467,0.3423306974239489,0.3789751647725737,90.81188947590987,0.027544189778447734,4.044871749410449e-10,1.2131498325718636e-10,6.067521389507942e-10,1.2227672310755356e-10,1.8579602144004062e-8
2.3619325903120756e8,28.86382831220758,4.829031480437428,0.3617106810821858,0.382882973264083,91.4495911977471,0.04052606199964552,4.044870399170496e-10,1.2127102138844722e-10,6.043341068670521e-10,1.217931242228221e-10,1.8579166546496092e-8
2.3340774499887034e8,28.853362163142137,4.825874606588682,0.37839158720875515,0.3862431211655371,91.93051881898884,0.032493015653659627,4.044871329114556e-10,1.2130307404985742e-10,6.060977469817617e-10,1.22145851729251e-10,1.8579486397627907e-8
2.3000046774354002e8,28.843178278564395,4.822796363394278,0.39498171788325426,0.3895844858685468,92.39853976934488,0.02395026750608679,4.0448715426552763e-10,1.2134198111319007e-10,6.082377117233643e-10,1.225738126296064e-10,1.8579874678797035e-8
2.2840041560959667e8,28.832434724159096,4.8195587990296245,0.4119405317492381,0.39300084380405265,92.89218363466068,0.01943155208745051,4.04487175865035e-10,1.213649273602147e-10,6.095004299262416e-10,1.2282634710857898e-10,1.858010058536889e-8
2.259509898805409e8,28.822044283853828,4.816419885998394,0.4287697548394284,0.3963904992299886,93.36967853715532,0.013737469310555174,4.0448719145115046e-10,1.2139668592156542e-10,6.112481884790638e-10,1.231759097993219e-10,1.8580414315522408e-8
2.4707670754195154e8,28.802944479016833,4.810847327358454,0.4488423205598155,0.40044876343922586,94.24544930709729,0.05003947987910658,4.0448686447724347e-10,1.2117685328901249e-10,5.991555464704077e-10,1.2075744659925554e-10,1.857821733359431e-8
