iteration,chain,nn_params[1],nn_params[2],nn_params[3],nn_params[4],nn_params[5],nn_params[6],lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,0.6460265011926709,-0.13620216018946024,0.8731687121744105,-0.6499925334876816,-0.19581560243691726,0.9592520631014441,707.5440671455736,1023.0,1.0,0.8318447853156256,707.5440671455736,-704.222307507516,-1.4653040313186239,2.228819921764739,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1002,1,0.6360634529045406,-0.1513573268704149,0.8752514549804155,-0.6563262452952309,-0.21129907854247015,0.9632495605039268,707.766173644282,1023.0,1.0,0.9675735846509853,707.766173644282,-706.9882714341077,-0.25708367811887456,0.3511347136756058,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1003,1,0.6583052249235267,-0.1371778688400849,0.8727032313199955,-0.6570408334206604,-0.20881181184254108,0.9614627630246446,706.0851510459346,1023.0,1.0,0.49518338597803335,706.0851510459346,-705.4327862819198,1.647626361546486,2.138236305487908,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1004,1,0.6622440930179373,-0.13628401623686218,0.8719826437233492,-0.6566451382555412,-0.20992411757931112,0.9585081323785456,705.6768872718519,1023.0,1.0,0.2659720213375553,705.6768872718519,-702.9931123791764,0.4123178254869799,8.035492056712087,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1005,1,0.6643735289033174,-0.13851257890095134,0.871441959924041,-0.6500777724365645,-0.21779163730454115,0.9617537920501363,705.3485959743433,1023.0,1.0,0.3295595525587402,705.3485959743433,-701.5392919256781,0.32127018029518695,6.793449313185306,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1006,1,0.6615987150731844,-0.13394674936575982,0.8691744046726436,-0.6489472405124973,-0.21821937961933055,0.9615507896710511,705.5305468721338,1023.0,1.0,0.44496291984265995,705.5305468721338,-703.0049328232764,-0.16086530372649577,4.260692445077666,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1007,1,0.6613469545302337,-0.1313321436331914,0.8649278623165344,-0.6552247994733836,-0.20475874080355289,0.9598303072564692,705.7776071124575,1023.0,1.0,0.9281247205357289,705.7776071124575,-704.3430553083192,-0.22865454997793222,0.5893298861244602,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1008,1,0.6219219077966985,-0.1345453215618185,0.850404538335743,-0.6443201188864468,-0.19260139523467987,0.9893462535554999,706.8358020575855,1023.0,1.0,0.8819227262026949,706.8358020575855,-703.1139600410975,-0.9859526902080233,1.7529203916222968,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1009,1,0.6222142028431409,-0.1311287501555723,0.8525735973178744,-0.6431924022119927,-0.19512417108563904,0.9931473512165423,706.4426345739703,1023.0,1.0,0.6487366630871455,706.4426345739703,-704.719448599015,0.3727441484918472,2.5281671190997486,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1010,1,0.6276066768178408,-0.1291902134774821,0.8544606218287569,-0.6451687426137294,-0.21032436286961623,0.9759623987648297,707.2890663350316,1023.0,1.0,0.9768844489998093,707.2890663350316,-705.7841952422817,-0.8150843257777751,-0.8290513414923453,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1011,1,0.6450556905770766,-0.12193517458548565,0.8618606768644816,-0.6490339760397771,-0.19931684437182112,0.9642244066219756,706.8044170017273,1023.0,1.0,0.4985547964986465,706.8044170017273,-699.4780535278505,0.4630393018479708,3.966169018018604,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1012,1,0.6441290129371176,-0.1224501453239936,0.8588946819784941,-0.6479651644371947,-0.20046960152174412,0.9658117097411779,706.819203430217,1023.0,1.0,0.6402837792893791,706.819203430217,-703.6256880172887,-0.00671763320883656,2.5477669865248345,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1013,1,0.6401771902935525,-0.1304642029269028,0.8711837390792976,-0.6564882269791885,-0.20636926928758442,0.966620348025387,707.2237672902457,1023.0,1.0,0.49657486342738,707.2237672902457,-703.2755099643024,-0.47115054575124304,5.2376337255379894,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1014,1,0.6289131531212045,-0.11947244142506538,0.8684657158363456,-0.6533962278882305,-0.19668530253085267,0.9652750650708758,707.3361842894248,1023.0,1.0,0.8080281613916291,707.3361842894248,-705.1072241927332,-0.047770985168085645,1.1986778144627124,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1015,1,0.6207436656826054,-0.12172785968930266,0.8603631567981272,-0.6585921385885518,-0.20338511610685645,0.94645829175482,707.4342455202926,1023.0,1.0,0.5820800436425709,707.4342455202926,-700.5808807552822,0.002235304528312554,3.9705269445287286,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1016,1,0.635772561241706,-0.1324668058458355,0.8613920401786743,-0.6666210709176402,-0.20041745465520902,0.9407424099829123,707.1082260914354,1023.0,1.0,0.6558714009218347,707.1082260914354,-704.0858626460276,0.28193942680445616,2.465415391983811,10.0,0.0,0.0014150601313437207,0.0014150601313437207
1017,1,0.6147331456223235,-0.13526304782602258,0.8567639774635215,-0.6565744325535722,-0.17697250954147734,0.9562332920580838,708.000974926733,1023.0,1.0,0.902215211960652,708.000974926733,-704.0303517331167,-0.8402113704354406,0.9547361215394403,10.0,0.0,0.0014150601313437207,0.0014150601313437207
